"Gene.stable.ID"	"Gene.name"	"ZFIN.ID"	"Gene.name.uniq"	"Gene.description"	"Source.of.gene.name"
"4580"	"ENSDARG00000025428"	"socs3a"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-030131-7349\")"	"socs3a"	"suppressor of cytokine signaling 3a [Source:ZFIN;Acc:ZDB-GENE-030131-7349]"	"ZFIN"
"4581"	"ENSDARG00000076742"	"cyth1a"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-030131-657\")"	"cyth1a*1"	"cytohesin 1a [Source:ZFIN;Acc:ZDB-GENE-030131-657]"	"ZFIN"
"4582"	"ENSDARG00000032327"	"usp36"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-030131-5450\")"	"usp36"	"ubiquitin specific peptidase 36 [Source:ZFIN;Acc:ZDB-GENE-030131-5450]"	"ZFIN"
"4583"	"ENSDARG00000075261"	"timp2b"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040426-2655\")"	"timp2b"	"TIMP metallopeptidase inhibitor 2b [Source:ZFIN;Acc:ZDB-GENE-040426-2655]"	"ZFIN"
"4586"	"ENSDARG00000076848"	"zgc:112492"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-050417-143\")"	"zgc:112492"	"zgc:112492 [Source:ZFIN;Acc:ZDB-GENE-050417-143]"	"ZFIN"
"4587"	"ENSDARG00000040528"	"lgals3bpb"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040426-2262\")"	"lgals3bpb"	"lectin, galactoside-binding, soluble, 3 binding protein b [Source:ZFIN;Acc:ZDB-GENE-040426-2262]"	"ZFIN"
"4588"	"ENSDARG00000012192"	"cant1a"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040426-2441\")"	"cant1a"	"calcium activated nucleotidase 1a [Source:ZFIN;Acc:ZDB-GENE-040426-2441]"	"ZFIN"
"4589"	"ENSDARG00000052429"	"syngr2a"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-070112-1292\")"	"syngr2a"	"synaptogyrin 2a [Source:ZFIN;Acc:ZDB-GENE-070112-1292]"	"ZFIN"
"4593"	"ENSDARG00000089291"	"cenpx"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-110411-78\")"	"cenpx"	"centromere protein X [Source:ZFIN;Acc:ZDB-GENE-110411-78]"	"ZFIN"
"4594"	"ENSDARG00000031126"	"notum1a"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-120807-2\")"	"notum1a"	"notum, palmitoleoyl-protein carboxylesterase a [Source:ZFIN;Acc:ZDB-GENE-120807-2]"	"ZFIN"
"4596"	"ENSDARG00000102254"	"pycr1a"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040426-1675\")"	"pycr1a"	"pyrroline-5-carboxylate reductase 1a [Source:ZFIN;Acc:ZDB-GENE-040426-1675]"	"ZFIN"
"4600"	"ENSDARG00000096821"	"si:ch211-256e16.7"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-131127-298\")"	"si:ch211-256e16.7"	"si:ch211-256e16.7 [Source:ZFIN;Acc:ZDB-GENE-131127-298]"	"ZFIN"
"4601"	"ENSDARG00000079603"	"si:ch211-256e16.6"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-131121-456\")"	"si:ch211-256e16.6"	"si:ch211-256e16.6 [Source:ZFIN;Acc:ZDB-GENE-131121-456]"	"ZFIN"
"4602"	"ENSDARG00000097337"	"CT583687.1"	"=HYPERLINK(\"https://zfin.org/\")"	"CT583687.1"	""	"Clone-based (Ensembl) gene"
"4603"	"ENSDARG00000078428"	"si:ch211-256e16.4"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-131121-267\")"	"si:ch211-256e16.4"	"si:ch211-256e16.4 [Source:ZFIN;Acc:ZDB-GENE-131121-267]"	"ZFIN"
"4604"	"ENSDARG00000052426"	"si:ch211-256e16.3"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-131127-256\")"	"si:ch211-256e16.3"	"si:ch211-256e16.3 [Source:ZFIN;Acc:ZDB-GENE-131127-256]"	"ZFIN"
"4605"	"ENSDARG00000069878"	"snu13a"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040426-879\")"	"snu13a"	"SNU13 homolog, small nuclear ribonucleoprotein a (U4/U6.U5) [Source:ZFIN;Acc:ZDB-GENE-040426-879]"	"ZFIN"
"4606"	"ENSDARG00000014794"	"uqcrc2a"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040718-405\")"	"uqcrc2a"	"ubiquinol-cytochrome c reductase core protein 2a [Source:ZFIN;Acc:ZDB-GENE-040718-405]"	"ZFIN"
"4607"	"ENSDARG00000100690"	"si:ch211-256e16.11"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-131127-41\")"	"si:ch211-256e16.11"	"si:ch211-256e16.11 [Source:ZFIN;Acc:ZDB-GENE-131127-41]"	"ZFIN"
"4608"	"ENSDARG00000090901"	"si:ch211-256e16.11"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-131127-41\")"	"si:ch211-256e16.11*1"	"si:ch211-256e16.11 [Source:ZFIN;Acc:ZDB-GENE-131127-41]"	"ZFIN"
"4609"	"ENSDARG00000117625"	"CABZ01038493.1"	"=HYPERLINK(\"https://zfin.org/\")"	"CABZ01038493.1"	""	"Clone-based (Ensembl) gene"
"4610"	"ENSDARG00000115174"	"im:6904045"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-050506-75\")"	"im:6904045"	"im:6904045 [Source:ZFIN;Acc:ZDB-GENE-050506-75]"	"ZFIN"
"4611"	"ENSDARG00000088258"	"CABZ01038494.1"	"=HYPERLINK(\"https://zfin.org/\")"	"CABZ01038494.1"	"modulator of smoothened a [Source:NCBI gene;Acc:100535551]"	"Clone-based (Ensembl) gene"
"4613"	"ENSDARG00000087210"	"vwa3a"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-131121-527\")"	"vwa3a"	"von Willebrand factor A domain containing 3A [Source:ZFIN;Acc:ZDB-GENE-131121-527]"	"ZFIN"
"4615"	"ENSDARG00000035952"	"cdr2a"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-101203-5\")"	"cdr2a"	"cerebellar degeneration-related protein 2a [Source:ZFIN;Acc:ZDB-GENE-101203-5]"	"ZFIN"
"4616"	"ENSDARG00000052300"	"zgc:171489"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-080303-25\")"	"zgc:171489"	"zgc:171489 [Source:ZFIN;Acc:ZDB-GENE-080303-25]"	"ZFIN"
"4617"	"ENSDARG00000097343"	"AL772300.1"	"=HYPERLINK(\"https://zfin.org/\")"	"AL772300.1"	""	"Clone-based (Ensembl) gene"
"4618"	"ENSDARG00000086459"	"si:ch211-165g14.1"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-131127-601\")"	"si:ch211-165g14.1"	"si:ch211-165g14.1 [Source:ZFIN;Acc:ZDB-GENE-131127-601]"	"ZFIN"
"4620"	"ENSDARG00000087306"	"CABZ01038521.1"	"=HYPERLINK(\"https://zfin.org/\")"	"CABZ01038521.1"	""	"Clone-based (Ensembl) gene"
"4621"	"ENSDARG00000115425"	"CABZ01038524.1"	"=HYPERLINK(\"https://zfin.org/\")"	"CABZ01038524.1"	""	"Clone-based (Ensembl) gene"
"4623"	"ENSDARG00000039453"	"dhrs7ca"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-050320-114\")"	"dhrs7ca"	"dehydrogenase/reductase (SDR family) member 7Ca [Source:ZFIN;Acc:ZDB-GENE-050320-114]"	"ZFIN"
"4632"	"ENSDARG00000088908"	"CU570691.1"	"=HYPERLINK(\"https://zfin.org/\")"	"CU570691.1"	""	"Clone-based (Ensembl) gene"
"4633"	"ENSDARG00000059567"	"si:ch73-281f12.4"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-130530-682\")"	"si:ch73-281f12.4"	"si:ch73-281f12.4 [Source:ZFIN;Acc:ZDB-GENE-130530-682]"	"ZFIN"
"4634"	"ENSDARG00000014366"	"luc7l3"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-060616-375\")"	"luc7l3"	"LUC7-like 3 pre-mRNA splicing factor [Source:ZFIN;Acc:ZDB-GENE-060616-375]"	"ZFIN"
"4637"	"ENSDARG00000117537"	"CABZ01044154.1"	"=HYPERLINK(\"https://zfin.org/\")"	"CABZ01044154.1"	"uncharacterized LOC101883546 [Source:NCBI gene;Acc:101883546]"	"Clone-based (Ensembl) gene"
"4638"	"ENSDARG00000101356"	"CABZ01044156.1"	"=HYPERLINK(\"https://zfin.org/\")"	"CABZ01044156.1"	""	"Clone-based (Ensembl) gene"
"4639"	"ENSDARG00000099238"	"rasd4"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-050506-133\")"	"rasd4"	"rasd family member 4 [Source:ZFIN;Acc:ZDB-GENE-050506-133]"	"ZFIN"
"4640"	"ENSDARG00000099222"	"prpsap1"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040704-40\")"	"prpsap1"	"phosphoribosyl pyrophosphate synthetase-associated protein 1 [Source:ZFIN;Acc:ZDB-GENE-040704-40]"	"ZFIN"
"4643"	"ENSDARG00000098821"	"sec14l1"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040426-801\")"	"sec14l1"	"SEC14-like lipid binding 1 [Source:ZFIN;Acc:ZDB-GENE-040426-801]"	"ZFIN"
"4644"	"ENSDARG00000074671"	"nptx1l"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040426-2418\")"	"nptx1l"	"neuronal pentraxin 1 like [Source:ZFIN;Acc:ZDB-GENE-040426-2418]"	"ZFIN"
"4645"	"ENSDARG00000060263"	"pecam1"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-130530-689\")"	"pecam1"	"platelet/endothelial cell adhesion molecule 1 [Source:ZFIN;Acc:ZDB-GENE-130530-689]"	"ZFIN"
"4646"	"ENSDARG00000116806"	"CU693479.1"	"=HYPERLINK(\"https://zfin.org/\")"	"CU693479.1"	"protein phosphatase 1, regulatory subunit 27a [Source:NCBI gene;Acc:100332066]"	"Clone-based (Ensembl) gene"
"4647"	"ENSDARG00000078383"	"mcrip1"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-060825-259\")"	"mcrip1"	"MAPK regulated corepressor interacting protein 1 [Source:ZFIN;Acc:ZDB-GENE-060825-259]"	"ZFIN"
"4648"	"ENSDARG00000077732"	"alyref"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-070928-29\")"	"alyref"	"Aly/REF export factor [Source:ZFIN;Acc:ZDB-GENE-070928-29]"	"ZFIN"
"4649"	"ENSDARG00000043795"	"arhgdia"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040426-2816\")"	"arhgdia"	"Rho GDP dissociation inhibitor (GDI) alpha [Source:ZFIN;Acc:ZDB-GENE-040426-2816]"	"ZFIN"
"4650"	"ENSDARG00000026834"	"cdr2l"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-030131-8171\")"	"cdr2l"	"cerebellar degeneration-related protein 2-like [Source:ZFIN;Acc:ZDB-GENE-030131-8171]"	"ZFIN"
"4651"	"ENSDARG00000059556"	"recql5"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-071214-1\")"	"recql5"	"RecQ helicase-like 5 [Source:ZFIN;Acc:ZDB-GENE-071214-1]"	"ZFIN"
"4652"	"ENSDARG00000089338"	"si:ch211-110e21.3"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-131121-389\")"	"si:ch211-110e21.3"	"si:ch211-110e21.3 [Source:ZFIN;Acc:ZDB-GENE-131121-389]"	"ZFIN"
"4653"	"ENSDARG00000076807"	"zgc:174268"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-080219-18\")"	"zgc:174268"	"zgc:174268 [Source:ZFIN;Acc:ZDB-GENE-080219-18]"	"ZFIN"
"4654"	"ENSDARG00000069869"	"zgc:113030"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-050522-528\")"	"zgc:113030"	"zgc:113030 [Source:ZFIN;Acc:ZDB-GENE-050522-528]"	"ZFIN"
"4657"	"ENSDARG00000097523"	"si:ch73-364h19.1"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-031010-45\")"	"si:ch73-364h19.1"	"si:ch73-364h19.1 [Source:ZFIN;Acc:ZDB-GENE-031010-45]"	"ZFIN"
"4658"	"ENSDARG00000059557"	"xylt2"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-081022-125\")"	"xylt2"	"xylosyltransferase II [Source:ZFIN;Acc:ZDB-GENE-081022-125]"	"ZFIN"
"4659"	"ENSDARG00000089079"	"si:ch211-214b16.3"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-081105-50\")"	"si:ch211-214b16.3"	"si:ch211-214b16.3 [Source:ZFIN;Acc:ZDB-GENE-081105-50]"	"ZFIN"
"4660"	"ENSDARG00000102593"	"si:ch211-214b16.2"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-141212-1\")"	"si:ch211-214b16.2"	"si:ch211-214b16.2 [Source:ZFIN;Acc:ZDB-GENE-141212-1]"	"ZFIN"
"4661"	"ENSDARG00000074345"	"si:ch211-214b16.4"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-081105-53\")"	"si:ch211-214b16.4"	"si:ch211-214b16.4 [Source:ZFIN;Acc:ZDB-GENE-081105-53]"	"ZFIN"
"4663"	"ENSDARG00000098465"	"si:ch73-366l1.5"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-131127-426\")"	"si:ch73-366l1.5"	"si:ch73-366l1.5 [Source:ZFIN;Acc:ZDB-GENE-131127-426]"	"ZFIN"
"4664"	"ENSDARG00000102896"	"jmjd6"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040426-17\")"	"jmjd6"	"jumonji domain containing 6, arginine demethylase and lysine hydroxylase [Source:ZFIN;Acc:ZDB-GENE-040426-17]"	"ZFIN"
"4665"	"ENSDARG00000099516"	"mettl23"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-030131-10056\")"	"mettl23"	"methyltransferase like 23 [Source:ZFIN;Acc:ZDB-GENE-030131-10056]"	"ZFIN"
"4666"	"ENSDARG00000103893"	"srsf2b"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-030131-2420\")"	"srsf2b"	"serine and arginine rich splicing factor 2b [Source:ZFIN;Acc:ZDB-GENE-030131-2420]"	"ZFIN"
"4667"	"ENSDARG00000102828"	"mfsd11"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-050913-140\")"	"mfsd11"	"major facilitator superfamily domain containing 11 [Source:ZFIN;Acc:ZDB-GENE-050913-140]"	"ZFIN"
"4669"	"ENSDARG00000115335"	"ubald2"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-050522-185\")"	"ubald2"	"UBA-like domain containing 2 [Source:ZFIN;Acc:ZDB-GENE-050522-185]"	"ZFIN"
"4670"	"ENSDARG00000101919"	"foxj1a"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-060929-1178\")"	"foxj1a"	"forkhead box J1a [Source:ZFIN;Acc:ZDB-GENE-060929-1178]"	"ZFIN"
"4671"	"ENSDARG00000036844"	"tsen54"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-050522-454\")"	"tsen54"	"TSEN54 tRNA splicing endonuclease subunit [Source:ZFIN;Acc:ZDB-GENE-050522-454]"	"ZFIN"
"4672"	"ENSDARG00000036846"	"anks4b"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040704-29\")"	"anks4b"	"ankyrin repeat and sterile alpha motif domain containing 4B [Source:ZFIN;Acc:ZDB-GENE-040704-29]"	"ZFIN"
"4673"	"ENSDARG00000090861"	"CABZ01087514.1"	"=HYPERLINK(\"https://zfin.org/\")"	"CABZ01087514.1"	"peroxisomal membrane protein PMP34-like [Source:NCBI gene;Acc:566378]"	"Clone-based (Ensembl) gene"
"4674"	"ENSDARG00000036852"	"DXO"	"=HYPERLINK(\"https://zfin.org/\")"	"DXO"	"decapping exoribonuclease [Source:HGNC Symbol;Acc:HGNC:2992]"	"HGNC Symbol"
"4676"	"ENSDARG00000030560"	"helz"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040426-2419\")"	"helz"	"helicase with zinc finger [Source:ZFIN;Acc:ZDB-GENE-040426-2419]"	"ZFIN"
"4678"	"ENSDARG00000074669"	"cacng4b"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-120104-6\")"	"cacng4b"	"calcium channel, voltage-dependent, gamma subunit 4b [Source:ZFIN;Acc:ZDB-GENE-120104-6]"	"ZFIN"
"4679"	"ENSDARG00000018903"	"aimp2"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040426-2652\")"	"aimp2"	"aminoacyl tRNA synthetase complex interacting multifunctional protein 2 [Source:ZFIN;Acc:ZDB-GENE-040426-2652]"	"ZFIN"
"4680"	"ENSDARG00000037790"	"pvalb8"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-030805-3\")"	"pvalb8"	"parvalbumin 8 [Source:ZFIN;Acc:ZDB-GENE-030805-3]"	"ZFIN"
"4681"	"ENSDARG00000024433"	"pvalb4"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040625-48\")"	"pvalb4"	"parvalbumin 4 [Source:ZFIN;Acc:ZDB-GENE-040625-48]"	"ZFIN"
"4683"	"ENSDARG00000037789"	"pvalb1"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040625-57\")"	"pvalb1"	"parvalbumin 1 [Source:ZFIN;Acc:ZDB-GENE-040625-57]"	"ZFIN"
"4684"	"ENSDARG00000032836"	"pvalb5"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-050417-336\")"	"pvalb5"	"parvalbumin 5 [Source:ZFIN;Acc:ZDB-GENE-050417-336]"	"ZFIN"
"4685"	"ENSDARG00000076324"	"lmtk2"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-100812-11\")"	"lmtk2"	"lemur tyrosine kinase 2 [Source:ZFIN;Acc:ZDB-GENE-100812-11]"	"ZFIN"
"4686"	"ENSDARG00000074086"	"tecpr1b"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-100812-12\")"	"tecpr1b"	"tectonin beta-propeller repeat containing 1b [Source:ZFIN;Acc:ZDB-GENE-100812-12]"	"ZFIN"
"4687"	"ENSDARG00000097521"	"si:dkey-111k8.5"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-131125-101\")"	"si:dkey-111k8.5"	"si:dkey-111k8.5 [Source:ZFIN;Acc:ZDB-GENE-131125-101]"	"ZFIN"
"4688"	"ENSDARG00000097842"	"znf1134"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-131125-12\")"	"znf1134"	"zinc finger protein 1134 [Source:ZFIN;Acc:ZDB-GENE-131125-12]"	"ZFIN"
"4689"	"ENSDARG00000097501"	"si:dkey-111k8.3"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-131119-82\")"	"si:dkey-111k8.3"	"si:dkey-111k8.3 [Source:ZFIN;Acc:ZDB-GENE-131119-82]"	"ZFIN"
"4690"	"ENSDARG00000088331"	"znf1028"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-131125-19\")"	"znf1028"	"zinc finger protein 1028 [Source:ZFIN;Acc:ZDB-GENE-131125-19]"	"ZFIN"
"4691"	"ENSDARG00000098021"	"si:dkey-111k8.2"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-131122-104\")"	"si:dkey-111k8.2"	"si:dkey-111k8.2 [Source:ZFIN;Acc:ZDB-GENE-131122-104]"	"ZFIN"
"4692"	"ENSDARG00000096851"	"znf1143"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-131125-17\")"	"znf1143"	"zinc finger protein 1143 [Source:ZFIN;Acc:ZDB-GENE-131125-17]"	"ZFIN"
"4693"	"ENSDARG00000086332"	"bri3"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-030131-3038\")"	"bri3"	"brain protein I3 [Source:ZFIN;Acc:ZDB-GENE-030131-3038]"	"ZFIN"
"4694"	"ENSDARG00000031119"	"baiap2l1b"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-050417-371\")"	"baiap2l1b"	"BAI1-associated protein 2-like 1b [Source:ZFIN;Acc:ZDB-GENE-050417-371]"	"ZFIN"
"4697"	"ENSDARG00000103947"	"zgc:113295"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-050320-122\")"	"zgc:113295"	"zgc:113295 [Source:ZFIN;Acc:ZDB-GENE-050320-122]"	"ZFIN"
"4698"	"ENSDARG00000074768"	"zgc:113295"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-050320-122\")"	"zgc:113295*1"	"zgc:113295 [Source:ZFIN;Acc:ZDB-GENE-050320-122]"	"ZFIN"
"4699"	"ENSDARG00000037794"	"nptx2a"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-060707-1\")"	"nptx2a"	"neuronal pentraxin 2a [Source:ZFIN;Acc:ZDB-GENE-060707-1]"	"ZFIN"
"4700"	"ENSDARG00000074317"	"fam20ca"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-130530-750\")"	"fam20ca"	"FAM20C golgi associated secretory pathway kinase a [Source:ZFIN;Acc:ZDB-GENE-130530-750]"	"ZFIN"
"4701"	"ENSDARG00000076679"	"rai1"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-101203-2\")"	"rai1"	"retinoic acid induced 1 [Source:ZFIN;Acc:ZDB-GENE-101203-2]"	"ZFIN"
"4702"	"ENSDARG00000067607"	"srebf1"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-090812-3\")"	"srebf1"	"sterol regulatory element binding transcription factor 1 [Source:ZFIN;Acc:ZDB-GENE-090812-3]"	"ZFIN"
"4703"	"ENSDARG00000056394"	"TOM1L2"	"=HYPERLINK(\"https://zfin.org/\")"	"TOM1L2"	"target of myb1 like 2 membrane trafficking protein [Source:HGNC Symbol;Acc:HGNC:11984]"	"HGNC Symbol"
"4704"	"ENSDARG00000041300"	"drc3"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-061103-349\")"	"drc3"	"dynein regulatory complex subunit 3 [Source:ZFIN;Acc:ZDB-GENE-061103-349]"	"ZFIN"
"4705"	"ENSDARG00000079482"	"GID4"	"=HYPERLINK(\"https://zfin.org/\")"	"GID4"	"GID complex subunit 4 homolog [Source:HGNC Symbol;Acc:HGNC:28453]"	"HGNC Symbol"
"4706"	"ENSDARG00000041294"	"noxo1a"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-030131-9700\")"	"noxo1a"	"NADPH oxidase organizer 1a [Source:ZFIN;Acc:ZDB-GENE-030131-9700]"	"ZFIN"
"4707"	"ENSDARG00000052344"	"tbl3"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-041114-104\")"	"tbl3"	"transducin (beta)-like 3 [Source:ZFIN;Acc:ZDB-GENE-041114-104]"	"ZFIN"
"4708"	"ENSDARG00000067593"	"sco1"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-140909-1\")"	"sco1"	"SCO cytochrome c oxidase assembly protein 1 [Source:ZFIN;Acc:ZDB-GENE-140909-1]"	"ZFIN"
"4709"	"ENSDARG00000116815"	"znf1024"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-080218-25\")"	"znf1024"	"zinc finger protein 1024 [Source:ZFIN;Acc:ZDB-GENE-050320-62]"	"ZFIN"
"4710"	"ENSDARG00000116271"	"BX470259.2"	"=HYPERLINK(\"https://zfin.org/\")"	"BX470259.2"	"wu:fc31d10 [Source:NCBI gene;Acc:795633]"	"Clone-based (Ensembl) gene"
"4711"	"ENSDARG00000116723"	"BX470259.3"	"=HYPERLINK(\"https://zfin.org/\")"	"BX470259.3"	""	"Clone-based (Ensembl) gene"
"4712"	"ENSDARG00000102658"	"zgc:174624"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-080516-3\")"	"zgc:174624"	"zgc:174624 [Source:ZFIN;Acc:ZDB-GENE-080516-3]"	"ZFIN"
"4713"	"ENSDARG00000115456"	"zgc:173575"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-080218-25\")"	"zgc:173575"	"zgc:173575 [Source:ZFIN;Acc:ZDB-GENE-080218-25]"	"ZFIN"
"4714"	"ENSDARG00000069796"	"znf1124"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-071004-105\")"	"znf1124*1"	"zinc finger protein 1124 [Source:ZFIN;Acc:ZDB-GENE-071004-105]"	"ZFIN"
"4715"	"ENSDARG00000078281"	"zgc:173575"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-080218-25\")"	"zgc:173575*1"	"zgc:173575 [Source:ZFIN;Acc:ZDB-GENE-080218-25]"	"ZFIN"
"4716"	"ENSDARG00000111506"	"BX470259.1"	"=HYPERLINK(\"https://zfin.org/\")"	"BX470259.1"	"gastrula zinc finger protein XlCGF8.2DB-like [Source:NCBI gene;Acc:101886309]"	"Clone-based (Ensembl) gene"
"4717"	"ENSDARG00000076831"	"iqck"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-081022-109\")"	"iqck"	"IQ motif containing K [Source:ZFIN;Acc:ZDB-GENE-081022-109]"	"ZFIN"
"4718"	"ENSDARG00000077080"	"gprc5ba"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-030131-8162\")"	"gprc5ba"	"G protein-coupled receptor, class C, group 5, member Ba [Source:ZFIN;Acc:ZDB-GENE-030131-8162]"	"ZFIN"
"4719"	"ENSDARG00000037783"	"proza"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-061013-403\")"	"proza"	"protein Z, vitamin K-dependent plasma glycoprotein a [Source:ZFIN;Acc:ZDB-GENE-061013-403]"	"ZFIN"
"4720"	"ENSDARG00000037782"	"sox8b"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-031114-1\")"	"sox8b"	"SRY-box transcription factor 8b [Source:ZFIN;Acc:ZDB-GENE-031114-1]"	"ZFIN"
"4722"	"ENSDARG00000097714"	"FP017215.1"	"=HYPERLINK(\"https://zfin.org/\")"	"FP017215.1"	""	"Clone-based (Ensembl) gene"
"4723"	"ENSDARG00000043923"	"sox9b"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-001103-2\")"	"sox9b"	"SRY-box transcription factor 9b [Source:ZFIN;Acc:ZDB-GENE-001103-2]"	"ZFIN"
"4724"	"ENSDARG00000102141"	"ptpn12"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040426-1441\")"	"ptpn12"	"protein tyrosine phosphatase non-receptor type 12 [Source:ZFIN;Acc:ZDB-GENE-040426-1441]"	"ZFIN"
"4726"	"ENSDARG00000114503"	"phtf2"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040711-4\")"	"phtf2*1"	"putative homeodomain transcription factor 2 [Source:ZFIN;Acc:ZDB-GENE-040711-4]"	"ZFIN"
"4728"	"ENSDARG00000098311"	"si:zfos-932h1.3"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-141222-4\")"	"si:zfos-932h1.3"	"si:zfos-932h1.3 [Source:ZFIN;Acc:ZDB-GENE-141222-4]"	"ZFIN"
"4729"	"ENSDARG00000104839"	"mansc1"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-070209-77\")"	"mansc1"	"MANSC domain containing 1 [Source:ZFIN;Acc:ZDB-GENE-070209-77]"	"ZFIN"
"4730"	"ENSDARG00000100143"	"lrp6"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-090821-1\")"	"lrp6"	"low density lipoprotein receptor-related protein 6 [Source:ZFIN;Acc:ZDB-GENE-090821-1]"	"ZFIN"
