gene_id	gene_name	ZFIN.ID	Description
ENSDARG00000089255	si:ch211-286c4.6	https://zfin.org/ZDB-GENE-131127-232	si:ch211-286c4.6 [Source:ZFIN;Acc:ZDB-GENE-131127-232]
ENSDARG00000088552	si:dkey-23f9.13	https://zfin.org/ZDB-GENE-141216-15	si:dkey-23f9.13 [Source:ZFIN;Acc:ZDB-GENE-141216-15]
ENSDARG00000077083	avpr1aa	https://zfin.org/ZDB-GENE-101028-2	arginine vasopressin receptor 1Aa [Source:ZFIN;Acc:ZDB-GENE-101028-2]
ENSDARG00000061414	slx4	https://zfin.org/ZDB-GENE-050208-359	SLX4 structure-specific endonuclease subunit homolog (S. cerevisiae) [Source:ZFIN;Acc:ZDB-GENE-050208-359]
ENSDARG00000038133	zgc:113411	https://zfin.org/ZDB-GENE-050417-474	zgc:113411 [Source:ZFIN;Acc:ZDB-GENE-050417-474]
ENSDARG00000018329	gc2	https://zfin.org/ZDB-GENE-011128-8	guanylyl cyclase 2 [Source:ZFIN;Acc:ZDB-GENE-011128-8]
ENSDARG00000101110	LYRM4 (1 of many)	https://zfin.org/ZDB-GENE-091204-235	si:ch211-152c8.4 [Source:ZFIN;Acc:ZDB-GENE-091204-235]
ENSDARG00000061778	fmn2b	https://zfin.org/ZDB-GENE-080225-35	formin 2b [Source:ZFIN;Acc:ZDB-GENE-080225-35]
ENSDARG00000100375	timm23b	https://zfin.org/ZDB-GENE-141212-76	translocase of inner mitochondrial membrane 23 homolog b (yeast) [Source:ZFIN;Acc:ZDB-GENE-141212-76]
ENSDARG00000016350	cap1	https://zfin.org/ZDB-GENE-030131-6459	"CAP, adenylate cyclase-associated protein 1 (yeast) [Source:ZFIN;Acc:ZDB-GENE-030131-6459]"
ENSDARG00000096873	si:dkey-46i14.11	https://zfin.org/ZDB-GENE-131127-505	si:dkey-46i14.11 [Source:ZFIN;Acc:ZDB-GENE-131127-505]
ENSDARG00000092927	si:dkey-44g23.2	https://zfin.org/ZDB-GENE-050208-678	si:dkey-44g23.2 [Source:ZFIN;Acc:ZDB-GENE-050208-678]
ENSDARG00000096131	si:ch211-284f7.2	https://zfin.org/ZDB-GENE-110914-218	si:ch211-284f7.2 [Source:ZFIN;Acc:ZDB-GENE-110914-218]
ENSDARG00000012942	itgb5	https://zfin.org/ZDB-GENE-030131-6022	"integrin, beta 5 [Source:ZFIN;Acc:ZDB-GENE-030131-6022]"
ENSDARG00000093798	slx4.1	https://zfin.org/ZDB-GENE-050208-359	SLX4 structure-specific endonuclease subunit homolog (S. cerevisiae) [Source:ZFIN;Acc:ZDB-GENE-050208-359]
ENSDARG00000025788	chp2	https://zfin.org/ZDB-GENE-030131-5810	calcineurin-like EF-hand protein 2 [Source:ZFIN;Acc:ZDB-GENE-030131-5810]
ENSDARG00000102627	si:ch1073-185p12.3	https://zfin.org/ZDB-GENE-110411-150	si:ch1073-185p12.3 [Source:ZFIN;Acc:ZDB-GENE-110411-150]
ENSDARG00000103960	si:ch211-128m15.5	https://zfin.org/ZDB-GENE-141219-33	si:ch211-128m15.5 [Source:ZFIN;Acc:ZDB-GENE-141219-33]
ENSDARG00000078430	tiam1a	https://zfin.org/ZDB-GENE-080325-1	T-cell lymphoma invasion and metastasis 1a [Source:ZFIN;Acc:ZDB-GENE-080325-1]
ENSDARG00000099684	trim35-24	https://zfin.org/ZDB-GENE-060421-8366	tripartite motif containing 35-24 [Source:ZFIN;Acc:ZDB-GENE-060421-8366]
ENSDARG00000018117	si:dkey-37g12.2p	https://zfin.org/	
ENSDARG00000077385	rgs19	https://zfin.org/ZDB-GENE-080723-72	regulator of G-protein signaling 19 [Source:ZFIN;Acc:ZDB-GENE-080723-72]
ENSDARG00000074378	junba	https://zfin.org/ZDB-GENE-040426-2172	jun B proto-oncogene a [Source:ZFIN;Acc:ZDB-GENE-040426-2172]
ENSDARG00000076075	myh7ba	https://zfin.org/ZDB-GENE-100914-2	"myosin, heavy chain 7B, cardiac muscle, beta a [Source:ZFIN;Acc:ZDB-GENE-100914-2]"
ENSDARG00000087956	she	https://zfin.org/ZDB-GENE-090915-6	Src homology 2 domain containing E [Source:ZFIN;Acc:ZDB-GENE-090915-6]
ENSDARG00000097553	si:dkey-193e13.8	https://zfin.org/ZDB-GENE-131122-33	si:dkey-193e13.8 [Source:ZFIN;Acc:ZDB-GENE-131122-33]
ENSDARG00000097550	si:ch211-160e1.9	https://zfin.org/ZDB-GENE-131127-396	si:ch211-160e1.9 [Source:ZFIN;Acc:ZDB-GENE-131127-396]
ENSDARG00000038643	alas2	https://zfin.org/ZDB-GENE-001229-1	"aminolevulinate, delta-, synthase 2 [Source:ZFIN;Acc:ZDB-GENE-001229-1]"
ENSDARG00000051785	dhx33	https://zfin.org/ZDB-GENE-131127-77	DEAH (Asp-Glu-Ala-His) box polypeptide 33 [Source:ZFIN;Acc:ZDB-GENE-131127-77]
ENSDARG00000105423	cd27	https://zfin.org/ZDB-GENE-160113-60	CD27 molecule [Source:ZFIN;Acc:ZDB-GENE-160113-60]
ENSDARG00000016154	zfp36l1a	https://zfin.org/ZDB-GENE-030131-9860	"zinc finger protein 36, C3H type-like 1a [Source:ZFIN;Acc:ZDB-GENE-030131-9860]"
ENSDARG00000003811	plxnb2a	https://zfin.org/ZDB-GENE-030131-8917	plexin b2a [Source:ZFIN;Acc:ZDB-GENE-030131-8917]
ENSDARG00000078832	si:dkey-73p2.3.1	https://zfin.org/ZDB-GENE-131126-12	si:dkey-73p2.3 [Source:ZFIN;Acc:ZDB-GENE-131126-12]
ENSDARG00000013926	slc16a9a	https://zfin.org/ZDB-GENE-040426-1364	"solute carrier family 16, member 9a [Source:ZFIN;Acc:ZDB-GENE-040426-1364]"
ENSDARG00000069632	emp1	https://zfin.org/ZDB-GENE-070822-2	epithelial membrane protein 1 [Source:ZFIN;Acc:ZDB-GENE-070822-2]
ENSDARG00000053917	alg10	https://zfin.org/ZDB-GENE-110310-8	asparagine-linked glycosylation 10 [Source:ZFIN;Acc:ZDB-GENE-110310-8]
ENSDARG00000040072	scpep1	https://zfin.org/ZDB-GENE-040426-890	serine carboxypeptidase 1 [Source:ZFIN;Acc:ZDB-GENE-040426-890]
ENSDARG00000028163	prg4b	https://zfin.org/ZDB-GENE-041014-324	proteoglycan 4b [Source:ZFIN;Acc:ZDB-GENE-041014-324]
ENSDARG00000096831	si:dkey-73p2.5	https://zfin.org/ZDB-GENE-131121-230	si:dkey-73p2.5 [Source:ZFIN;Acc:ZDB-GENE-131121-230]
ENSDARG00000090152	anapc10	https://zfin.org/ZDB-GENE-060224-2	anaphase promoting complex subunit 10 [Source:ZFIN;Acc:ZDB-GENE-060224-2]
ENSDARG00000088813	ppp1r3ab	https://zfin.org/ZDB-GENE-050309-246	"protein phosphatase 1, regulatory subunit 3Ab [Source:ZFIN;Acc:ZDB-GENE-050309-246]"
ENSDARG00000070011	si:ch211-167j6.4	https://zfin.org/ZDB-GENE-070912-146	si:ch211-167j6.4 [Source:ZFIN;Acc:ZDB-GENE-070912-146]
ENSDARG00000057910	mrps34	https://zfin.org/ZDB-GENE-041114-71	mitochondrial ribosomal protein S34 [Source:ZFIN;Acc:ZDB-GENE-041114-71]
ENSDARG00000094774	si:dkey-273g3.3	https://zfin.org/ZDB-GENE-070912-497	si:dkey-273g3.3 [Source:ZFIN;Acc:ZDB-GENE-070912-497]
ENSDARG00000041998	zgc:113337	https://zfin.org/ZDB-GENE-050306-20	zgc:113337 [Source:ZFIN;Acc:ZDB-GENE-050306-20]
ENSDARG00000041864	capn3a	https://zfin.org/ZDB-GENE-040912-97	"calpain 3a, (p94) [Source:ZFIN;Acc:ZDB-GENE-040912-97]"
ENSDARG00000093458	si:dkey-76d14.2	https://zfin.org/ZDB-GENE-070912-580	si:dkey-76d14.2 [Source:ZFIN;Acc:ZDB-GENE-070912-580]
ENSDARG00000094522	si:ch211-14c7.2	https://zfin.org/ZDB-GENE-060503-856	si:ch211-14c7.2 [Source:ZFIN;Acc:ZDB-GENE-060503-856]
ENSDARG00000105358	si:dkeyp-32g11.8	https://zfin.org/ZDB-GENE-160114-71	si:dkeyp-32g11.8 [Source:ZFIN;Acc:ZDB-GENE-160114-71]
ENSDARG00000028213	ttn.2	https://zfin.org/ZDB-GENE-030113-2	"titin, tandem duplicate 2 [Source:ZFIN;Acc:ZDB-GENE-030113-2]"
ENSDARG00000053158	prss56	https://zfin.org/ZDB-GENE-070912-579	"protease, serine, 56 [Source:ZFIN;Acc:ZDB-GENE-070912-579]"
ENSDARG00000020527	nup62l	https://zfin.org/ZDB-GENE-030131-8491	nucleoporin 62 like [Source:ZFIN;Acc:ZDB-GENE-030131-8491]
ENSDARG00000058548	bves	https://zfin.org/ZDB-GENE-040624-11	blood vessel epicardial substance [Source:ZFIN;Acc:ZDB-GENE-040624-11]
ENSDARG00000056557	copb1	https://zfin.org/ZDB-GENE-030219-38	"coatomer protein complex, subunit beta 1 [Source:ZFIN;Acc:ZDB-GENE-030219-38]"
ENSDARG00000041428	yrdc	https://zfin.org/ZDB-GENE-070410-65	yrdC N(6)-threonylcarbamoyltransferase domain containing [Source:ZFIN;Acc:ZDB-GENE-070410-65]
ENSDARG00000016474	galcb	https://zfin.org/ZDB-GENE-040426-2115	galactosylceramidase b [Source:ZFIN;Acc:ZDB-GENE-040426-2115]
ENSDARG00000092930	si:ch211-132b12.4	https://zfin.org/ZDB-GENE-050419-207	si:ch211-132b12.4 [Source:ZFIN;Acc:ZDB-GENE-050419-207]
ENSDARG00000094428	si:dkey-31f5.8	https://zfin.org/ZDB-GENE-041210-182	si:dkey-31f5.8 [Source:ZFIN;Acc:ZDB-GENE-041210-182]
ENSDARG00000058409	si:ch211-167j6.5	https://zfin.org/ZDB-GENE-070912-147	si:ch211-167j6.5 [Source:ZFIN;Acc:ZDB-GENE-070912-147]
ENSDARG00000038878	il12a	https://zfin.org/ZDB-GENE-060724-1	interleukin 12a [Source:ZFIN;Acc:ZDB-GENE-060724-1]
ENSDARG00000029168	ppfibp2b	https://zfin.org/ZDB-GENE-040718-54	"PTPRF interacting protein, binding protein 2b (liprin beta 2) [Source:ZFIN;Acc:ZDB-GENE-040718-54]"
ENSDARG00000089236	mettl15	https://zfin.org/ZDB-GENE-130530-958	methyltransferase like 15 [Source:ZFIN;Acc:ZDB-GENE-130530-958]
ENSDARG00000025518	F8A2	https://zfin.org/ZDB-GENE-041010-181	zgc:101679 [Source:ZFIN;Acc:ZDB-GENE-041010-181]
ENSDARG00000007383	kcnk6	https://zfin.org/ZDB-GENE-050309-213	"potassium channel, subfamily K, member 6 [Source:ZFIN;Acc:ZDB-GENE-050309-213]"
ENSDARG00000003680	runx1t1	https://zfin.org/ZDB-GENE-060929-164	"runt-related transcription factor 1; translocated to, 1 (cyclin D-related) [Source:ZFIN;Acc:ZDB-GENE-060929-164]"
ENSDARG00000068372	zgc:158427	https://zfin.org/ZDB-GENE-061215-110	zgc:158427 [Source:ZFIN;Acc:ZDB-GENE-061215-110]
ENSDARG00000099283	epb41a	https://zfin.org/ZDB-GENE-070705-81	erythrocyte membrane protein band 4.1a [Source:ZFIN;Acc:ZDB-GENE-070705-81]
ENSDARG00000104100	bmpr1ba	https://zfin.org/ZDB-GENE-991208-8	"bone morphogenetic protein receptor, type IBa [Source:ZFIN;Acc:ZDB-GENE-991208-8]"
ENSDARG00000035167	mrpl48	https://zfin.org/ZDB-GENE-041008-125	mitochondrial ribosomal protein L48 [Source:ZFIN;Acc:ZDB-GENE-041008-125]
ENSDARG00000070573	mapk3	https://zfin.org/ZDB-GENE-040121-1	mitogen-activated protein kinase 3 [Source:ZFIN;Acc:ZDB-GENE-040121-1]
ENSDARG00000069654	ppp6r2b	https://zfin.org/ZDB-GENE-070705-441	"protein phosphatase 6, regulatory subunit 2b [Source:ZFIN;Acc:ZDB-GENE-070705-441]"
ENSDARG00000097821	si:dkey-244a7.2	https://zfin.org/ZDB-GENE-131127-198	si:dkey-244a7.2 [Source:ZFIN;Acc:ZDB-GENE-131127-198]
ENSDARG00000056582	map3k14b	https://zfin.org/ZDB-GENE-091204-121	mitogen-activated protein kinase kinase kinase 14b [Source:ZFIN;Acc:ZDB-GENE-091204-121]
ENSDARG00000005590	mtf2	https://zfin.org/ZDB-GENE-060512-94	metal response element binding transcription factor 2 [Source:ZFIN;Acc:ZDB-GENE-060512-94]
ENSDARG00000043341	npy4r	https://zfin.org/ZDB-GENE-980526-393	neuropeptide Y receptor Y4 [Source:ZFIN;Acc:ZDB-GENE-980526-393]
ENSDARG00000027552	mapk1	https://zfin.org/ZDB-GENE-030722-2	mitogen-activated protein kinase 1 [Source:ZFIN;Acc:ZDB-GENE-030722-2]
ENSDARG00000001015	znf384l	https://zfin.org/ZDB-GENE-030616-498	zinc finger protein 384 like [Source:ZFIN;Acc:ZDB-GENE-030616-498]
ENSDARG00000017386	sobpb	https://zfin.org/ZDB-GENE-041210-8	sine oculis binding protein homolog (Drosophila) b [Source:ZFIN;Acc:ZDB-GENE-041210-8]
ENSDARG00000056744	ela2	https://zfin.org/ZDB-GENE-041117-1	elastase 2 [Source:ZFIN;Acc:ZDB-GENE-041117-1]
ENSDARG00000063684	ppm1h	https://zfin.org/ZDB-GENE-061027-190	"protein phosphatase, Mg2+/Mn2+ dependent, 1H [Source:ZFIN;Acc:ZDB-GENE-061027-190]"
ENSDARG00000016393	arf2b	https://zfin.org/ZDB-GENE-030131-5234	ADP-ribosylation factor 2b [Source:ZFIN;Acc:ZDB-GENE-030131-5234]
ENSDARG00000062178	fam65a	https://zfin.org/ZDB-GENE-050420-32	"family with sequence similarity 65, member A [Source:ZFIN;Acc:ZDB-GENE-050420-32]"
ENSDARG00000100388	abhd5b	https://zfin.org/ZDB-GENE-110411-277	abhydrolase domain containing 5b [Source:ZFIN;Acc:ZDB-GENE-110411-277]
ENSDARG00000029308	prr15lb	https://zfin.org/ZDB-GENE-050417-201	proline rich 15-like b [Source:ZFIN;Acc:ZDB-GENE-050417-201]
ENSDARG00000104891	si:dkey-109j17.5	https://zfin.org/ZDB-GENE-090313-173	si:dkey-109j17.5 [Source:ZFIN;Acc:ZDB-GENE-090313-173]
ENSDARG00000044902	atp2b4	https://zfin.org/ZDB-GENE-061027-60	"ATPase, Ca++ transporting, plasma membrane 4 [Source:ZFIN;Acc:ZDB-GENE-061027-60]"
ENSDARG00000104305	si:dkey-200c24.1	https://zfin.org/ZDB-GENE-070705-349	si:dkey-200c24.1 [Source:ZFIN;Acc:ZDB-GENE-070705-349]
ENSDARG00000056065	mov10b.2	https://zfin.org/ZDB-GENE-060526-371	"Moloney leukemia virus 10b, tandem duplicate 2 [Source:ZFIN;Acc:ZDB-GENE-060526-371]"
ENSDARG00000105600	si:ch211-12j24.2	https://zfin.org/ZDB-GENE-160728-50	si:ch211-12j24.2 [Source:ZFIN;Acc:ZDB-GENE-160728-50]
ENSDARG00000104755	si:ch211-25d12.8	https://zfin.org/ZDB-GENE-141216-294	si:ch211-25d12.8 [Source:ZFIN;Acc:ZDB-GENE-141216-294]
ENSDARG00000037142	zgc:153146	https://zfin.org/ZDB-GENE-060825-339	zgc:153146 [Source:ZFIN;Acc:ZDB-GENE-060825-339]
ENSDARG00000059226	zbtb8a	https://zfin.org/ZDB-GENE-060421-5153	zinc finger and BTB domain containing 8A [Source:ZFIN;Acc:ZDB-GENE-060421-5153]
ENSDARG00000061020	ccdc186	https://zfin.org/ZDB-GENE-100318-3	si:ch211-225b10.4 [Source:ZFIN;Acc:ZDB-GENE-100318-3]
ENSDARG00000040070	coil	https://zfin.org/ZDB-GENE-000330-8	coilin p80 [Source:ZFIN;Acc:ZDB-GENE-000330-8]
ENSDARG00000079907	ptger4c	https://zfin.org/ZDB-GENE-070705-128	prostaglandin E receptor 4 (subtype EP4) c [Source:ZFIN;Acc:ZDB-GENE-070705-128]
ENSDARG00000008022	kif18a	https://zfin.org/ZDB-GENE-040426-862	kinesin family member 18A [Source:ZFIN;Acc:ZDB-GENE-040426-862]
ENSDARG00000002197	pygl	https://zfin.org/ZDB-GENE-041205-1	"phosphorylase, glycogen, liver [Source:ZFIN;Acc:ZDB-GENE-041205-1]"
ENSDARG00000053630	si:dkey-182o15.5	https://zfin.org/ZDB-GENE-160728-6	si:dkey-182o15.5 [Source:ZFIN;Acc:ZDB-GENE-160728-6]
ENSDARG00000033544	adamts15b	https://zfin.org/ZDB-GENE-070814-5	"ADAM metallopeptidase with thrombospondin type 1 motif, 15b [Source:ZFIN;Acc:ZDB-GENE-070814-5]"
ENSDARG00000074772	ccl44	https://zfin.org/ZDB-GENE-131121-642	chemokine (C-C motif) ligand 44 [Source:ZFIN;Acc:ZDB-GENE-131121-642]
ENSDARG00000038553	si:ch211-195j11.8p	https://zfin.org/	
ENSDARG00000061985	rbm47	https://zfin.org/ZDB-GENE-030131-9612	RNA binding motif protein 47 [Source:ZFIN;Acc:ZDB-GENE-030131-9612]
ENSDARG00000056765	ela2l	https://zfin.org/ZDB-GENE-040511-1	elastase 2 like [Source:ZFIN;Acc:ZDB-GENE-040511-1]
ENSDARG00000011459	gsna	https://zfin.org/ZDB-GENE-030131-9653	gelsolin a [Source:ZFIN;Acc:ZDB-GENE-030131-9653]
ENSDARG00000042948	dnajc5aa	https://zfin.org/ZDB-GENE-031113-20	"DnaJ (Hsp40) homolog, subfamily C, member 5aa [Source:ZFIN;Acc:ZDB-GENE-031113-20]"
ENSDARG00000060023	ncapg2	https://zfin.org/ZDB-GENE-070410-100	"non-SMC condensin II complex, subunit G2 [Source:ZFIN;Acc:ZDB-GENE-070410-100]"
ENSDARG00000093016	si:dkey-170g11.2	https://zfin.org/ZDB-GENE-070705-310	si:dkey-170g11.2 [Source:ZFIN;Acc:ZDB-GENE-070705-310]
ENSDARG00000094545	si:ch211-284f7.1	https://zfin.org/ZDB-GENE-041210-246	si:ch211-284f7.1 [Source:ZFIN;Acc:ZDB-GENE-041210-246]
ENSDARG00000014248	pdlim3b	https://zfin.org/ZDB-GENE-060130-104	PDZ and LIM domain 3b [Source:ZFIN;Acc:ZDB-GENE-060130-104]
ENSDARG00000062248	ptpn21	https://zfin.org/ZDB-GENE-080102-4	"protein tyrosine phosphatase, non-receptor type 21 [Source:ZFIN;Acc:ZDB-GENE-080102-4]"
ENSDARG00000094928	si:ch211-53m15.2	https://zfin.org/ZDB-GENE-100922-24	si:ch211-53m15.2 [Source:ZFIN;Acc:ZDB-GENE-100922-24]
ENSDARG00000020077	nol10	https://zfin.org/ZDB-GENE-040426-764	nucleolar protein 10 [Source:ZFIN;Acc:ZDB-GENE-040426-764]
ENSDARG00000057426	oard1	https://zfin.org/ZDB-GENE-050522-480	O-acyl-ADP-ribose deacylase 1 [Source:ZFIN;Acc:ZDB-GENE-050522-480]
ENSDARG00000095527	si:dkey-57b6.5	https://zfin.org/ZDB-GENE-081104-430	si:dkey-57b6.5 [Source:ZFIN;Acc:ZDB-GENE-081104-430]
ENSDARG00000077764	FAAH	https://zfin.org/ZDB-GENE-120215-165	si:zfos-1404b8.2 [Source:ZFIN;Acc:ZDB-GENE-120215-165]
ENSDARG00000060306	tfcp2	https://zfin.org/ZDB-GENE-030131-2523	transcription factor CP2 [Source:ZFIN;Acc:ZDB-GENE-030131-2523]
ENSDARG00000092404	LCT (1 of many)	https://zfin.org/ZDB-GENE-081105-132	si:dkey-79p17.3 [Source:ZFIN;Acc:ZDB-GENE-081105-132]
ENSDARG00000094546	si:ch211-132b12.6	https://zfin.org/ZDB-GENE-050420-179	si:ch211-132b12.6 [Source:ZFIN;Acc:ZDB-GENE-050420-179]
ENSDARG00000052039	caspb	https://zfin.org/ZDB-GENE-020812-1	caspase b [Source:ZFIN;Acc:ZDB-GENE-020812-1]
ENSDARG00000001910	rorab	https://zfin.org/ZDB-GENE-040426-855	"RAR-related orphan receptor A, paralog b [Source:ZFIN;Acc:ZDB-GENE-040426-855]"
ENSDARG00000077874	vwa10.1	https://zfin.org/ZDB-GENE-090313-291	"von Willebrand factor A domain containing 10, tandem duplicate 1 [Source:ZFIN;Acc:ZDB-GENE-090313-291]"
ENSDARG00000040620	psmg1	https://zfin.org/ZDB-GENE-040718-469	"proteasome (prosome, macropain) assembly chaperone 1 [Source:ZFIN;Acc:ZDB-GENE-040718-469]"
ENSDARG00000091870	si:rp71-29l5.1	https://zfin.org/ZDB-GENE-070912-701	si:rp71-29l5.1 [Source:ZFIN;Acc:ZDB-GENE-070912-701]
ENSDARG00000099299	si:ch1073-83n3.2	https://zfin.org/ZDB-GENE-141219-10	si:ch1073-83n3.2 [Source:ZFIN;Acc:ZDB-GENE-141219-10]
ENSDARG00000093221	si:dkey-23f9.11	https://zfin.org/ZDB-GENE-141216-40	si:dkey-23f9.11 [Source:ZFIN;Acc:ZDB-GENE-141216-40]
ENSDARG00000000943	dzip1	https://zfin.org/ZDB-GENE-040526-1	DAZ interacting zinc finger protein 1 [Source:ZFIN;Acc:ZDB-GENE-040526-1]
ENSDARG00000102402	fut11	https://zfin.org/ZDB-GENE-060929-728	"fucosyltransferase 11 (alpha (1,3) fucosyltransferase) [Source:ZFIN;Acc:ZDB-GENE-060929-728]"
ENSDARG00000074892	pde6d	https://zfin.org/ZDB-GENE-040718-463	"phosphodiesterase 6D, cGMP-specific, rod, delta [Source:ZFIN;Acc:ZDB-GENE-040718-463]"
ENSDARG00000076694	si:dkey-145c18.2	https://zfin.org/ZDB-GENE-081031-55	si:dkey-145c18.2 [Source:ZFIN;Acc:ZDB-GENE-081031-55]
ENSDARG00000059604	mtss1	https://zfin.org/ZDB-GENE-081105-141	metastasis suppressor 1 [Source:ZFIN;Acc:ZDB-GENE-081105-141]
ENSDARG00000071413	mier2	https://zfin.org/ZDB-GENE-050208-795	"mesoderm induction early response 1, family member 2 [Source:ZFIN;Acc:ZDB-GENE-050208-795]"
ENSDARG00000053106	cep44	https://zfin.org/ZDB-GENE-060929-392	centrosomal protein 44 [Source:ZFIN;Acc:ZDB-GENE-060929-392]
ENSDARG00000092818	si:ch73-381f5.4	https://zfin.org/ZDB-GENE-090312-126	si:ch73-381f5.4 [Source:ZFIN;Acc:ZDB-GENE-090312-126]
ENSDARG00000097137	si:dkeyp-116a7.2	https://zfin.org/ZDB-GENE-131119-72	si:dkeyp-116a7.2 [Source:ZFIN;Acc:ZDB-GENE-131119-72]
ENSDARG00000015524	prps1a	https://zfin.org/ZDB-GENE-011212-5	phosphoribosyl pyrophosphate synthetase 1A [Source:ZFIN;Acc:ZDB-GENE-011212-5]
ENSDARG00000010381	rnf2	https://zfin.org/ZDB-GENE-030131-5243	ring finger protein 2 [Source:ZFIN;Acc:ZDB-GENE-030131-5243]
ENSDARG00000087443	ptp4a2a	https://zfin.org/ZDB-GENE-040930-1	"protein tyrosine phosphatase type IVA, member 2a [Source:ZFIN;Acc:ZDB-GENE-040930-1]"
ENSDARG00000093833	si:ch73-382f3.1	https://zfin.org/ZDB-GENE-030131-9513	si:ch73-382f3.1 [Source:ZFIN;Acc:ZDB-GENE-030131-9513]
ENSDARG00000010194	eif4bb	https://zfin.org/ZDB-GENE-030131-8563	eukaryotic translation initiation factor 4Bb [Source:ZFIN;Acc:ZDB-GENE-030131-8563]
ENSDARG00000101695	si:dkey-26m3.3	https://zfin.org/ZDB-GENE-070705-445	si:dkey-26m3.3 [Source:ZFIN;Acc:ZDB-GENE-070705-445]
ENSDARG00000003326	cacng5a	https://zfin.org/ZDB-GENE-120104-4	"calcium channel, voltage-dependent, gamma subunit 5a [Source:ZFIN;Acc:ZDB-GENE-120104-4]"
ENSDARG00000016095	htr6	https://zfin.org/ZDB-GENE-030131-7839	5-hydroxytryptamine (serotonin) receptor 6 [Source:ZFIN;Acc:ZDB-GENE-030131-7839]
ENSDARG00000097870	pimr13	https://zfin.org/ZDB-GENE-131120-23	"Pim proto-oncogene, serine/threonine kinase, related 13 [Source:ZFIN;Acc:ZDB-GENE-131120-23]"
ENSDARG00000103917	znf185	https://zfin.org/ZDB-GENE-061103-355	zinc finger protein 185 (LIM domain) [Source:ZFIN;Acc:ZDB-GENE-061103-355]
ENSDARG00000010384	lpar5a	https://zfin.org/ZDB-GENE-030131-1193	lysophosphatidic acid receptor 5a [Source:ZFIN;Acc:ZDB-GENE-030131-1193]
ENSDARG00000102783	slc25a35	https://zfin.org/ZDB-GENE-060526-142	"solute carrier family 25, member 35 [Source:ZFIN;Acc:ZDB-GENE-060526-142]"
ENSDARG00000071288	samhd1	https://zfin.org/ZDB-GENE-090313-386	SAM domain and HD domain 1 [Source:ZFIN;Acc:ZDB-GENE-090313-386]
ENSDARG00000003751	lats1	https://zfin.org/ZDB-GENE-050523-2	large tumor suppressor kinase 1 [Source:ZFIN;Acc:ZDB-GENE-050523-2]
ENSDARG00000101689	si:dkey-16p6.1.6	https://zfin.org/ZDB-GENE-081103-43	si:dkey-16p6.1 [Source:ZFIN;Acc:ZDB-GENE-081103-43]
ENSDARG00000007302	sh3gl3b	https://zfin.org/ZDB-GENE-040121-4	SH3-domain GRB2-like 3b [Source:ZFIN;Acc:ZDB-GENE-040121-4]
ENSDARG00000099437	si:ch1073-268j14.1	https://zfin.org/ZDB-GENE-141216-172	si:ch1073-268j14.1 [Source:ZFIN;Acc:ZDB-GENE-141216-172]
ENSDARG00000051873	zgc:158222	https://zfin.org/ZDB-GENE-070112-1522	zgc:158222 [Source:ZFIN;Acc:ZDB-GENE-070112-1522]
ENSDARG00000075619	cenpo	https://zfin.org/ZDB-GENE-070928-16	centromere protein O [Source:ZFIN;Acc:ZDB-GENE-070928-16]
ENSDARG00000022810	fzr1b	https://zfin.org/ZDB-GENE-131120-69	fizzy/cell division cycle 20 related 1b [Source:ZFIN;Acc:ZDB-GENE-131120-69]
ENSDARG00000079727	sepp1b	https://zfin.org/ZDB-GENE-030311-2	"selenoprotein P, plasma, 1b [Source:ZFIN;Acc:ZDB-GENE-030311-2]"
ENSDARG00000069745	slc35f2	https://zfin.org/ZDB-GENE-030131-5516	"solute carrier family 35, member F2 [Source:ZFIN;Acc:ZDB-GENE-030131-5516]"
ENSDARG00000096587	itgam	https://zfin.org/ZDB-GENE-110510-4	"integrin, alpha M (complement component 3 receptor 3 subunit) [Source:ZFIN;Acc:ZDB-GENE-110510-4]"
ENSDARG00000052982	gabrr2a	https://zfin.org/ZDB-GENE-060825-164	"gamma-aminobutyric acid (GABA) A receptor, rho 2a [Source:ZFIN;Acc:ZDB-GENE-060825-164]"
ENSDARG00000011246	krr1	https://zfin.org/ZDB-GENE-060623-10	"KRR1, small subunit (SSU) processome component, homolog (yeast) [Source:ZFIN;Acc:ZDB-GENE-060623-10]"
ENSDARG00000094609	si:ch73-68b22.2	https://zfin.org/ZDB-GENE-091204-355	si:ch73-68b22.2 [Source:ZFIN;Acc:ZDB-GENE-091204-355]
ENSDARG00000042115	tmem198a	https://zfin.org/ZDB-GENE-070912-716	transmembrane protein 198a [Source:ZFIN;Acc:ZDB-GENE-070912-716]
ENSDARG00000003931	cndp2	https://zfin.org/ZDB-GENE-030131-5499	CNDP dipeptidase 2 (metallopeptidase M20 family) [Source:ZFIN;Acc:ZDB-GENE-030131-5499]
ENSDARG00000101598	si:ch211-215p11.1	https://zfin.org/ZDB-GENE-060531-33	si:ch211-215p11.1 [Source:ZFIN;Acc:ZDB-GENE-060531-33]
ENSDARG00000079128	becn1	https://zfin.org/ZDB-GENE-040426-1666	"beclin 1, autophagy related [Source:ZFIN;Acc:ZDB-GENE-040426-1666]"
ENSDARG00000037244	gpr137	https://zfin.org/ZDB-GENE-040718-443	G protein-coupled receptor 137 [Source:ZFIN;Acc:ZDB-GENE-040718-443]
